Date,Power Station Name,Actual Day Peak (MW),Actual Eve Peak (MW),IMERG_PRECTOT,T2M,RH2M,ALLSKY_SFC_SW_DWN,PS,WSC,Derived_LHF_FAO
2021-01-01,"Karnaphuli Hydro PP Unit-1,2,3,4,5",46,46,0.0,19.0,72.32,4.8046,98.43,0.92,74.3977504
2021-01-02,"Karnaphuli Hydro PP Unit-1,2,3,4,5",48,45,0.0,18.59,71.92,4.8658,98.38,0.86,70.45170911999998
2021-01-03,"Karnaphuli Hydro PP Unit-1,2,3,4,5",46,43,0.0,19.34,69.24,4.7945,98.28,0.87,78.27383388000001
2021-01-04,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,19.57,73.47,4.8221,98.35,0.74,57.46737584
2021-01-05,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,21.02,65.21,4.9226,98.3,0.78,79.82655954000002
2021-01-06,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,45,0.0,20.8,69.29,4.8818,98.13,1.06,95.68836769999996
2021-01-07,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,20.45,73.39,4.7858,98.08,1.23,96.0961608
2021-01-08,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,20.18,76.37,4.7791,98.11,1.26,87.33548753999997
2021-01-09,"Karnaphuli Hydro PP Unit-1,2,3,4,5",42,46,0.0,19.76,66.7,4.6414,98.1,1.24,120.94839719999996
2021-01-10,"Karnaphuli Hydro PP Unit-1,2,3,4,5",44,48,0.0,19.22,73.33,4.0596,98.15,1.07,83.43333453000002
2021-01-11,"Karnaphuli Hydro PP Unit-1,2,3,4,5",45,48,0.0,19.46,83.41,3.4865,98.28,1.27,61.65087873000001
2021-01-12,"Karnaphuli Hydro PP Unit-1,2,3,4,5",46,47,0.0,19.13,85.03,4.1143,98.31,1.25,54.69289499999997
2021-01-13,"Karnaphuli Hydro PP Unit-1,2,3,4,5",48,46,0.0,16.7,81.42,4.2806,98.34,1.29,69.47182769999998
2021-01-14,"Karnaphuli Hydro PP Unit-1,2,3,4,5",48,47,0.0,16.0,80.66,3.7027,98.31,1.19,66.5467159
2021-01-15,"Karnaphuli Hydro PP Unit-1,2,3,4,5",46,44,0.0,15.93,78.73,3.9713,98.18,1.1,67.6360476
2021-01-16,"Karnaphuli Hydro PP Unit-1,2,3,4,5",48,46,0.0,15.86,78.27,3.9002,98.15,1.11,69.71007903000002
2021-01-17,"Karnaphuli Hydro PP Unit-1,2,3,4,5",47,45,0.0,16.99,77.21,4.2737,98.38,0.95,62.816760700000025
2021-01-18,"Karnaphuli Hydro PP Unit-1,2,3,4,5",48,44,0.0,17.47,78.86,4.7158,98.32,1.06,65.12329208000001
2021-01-19,"Karnaphuli Hydro PP Unit-1,2,3,4,5",47,45,0.0,16.17,76.51,3.8014,98.31,1.18,80.19429624
2021-01-20,"Karnaphuli Hydro PP Unit-1,2,3,4,5",45,44,0.0,17.73,80.56,2.2063,98.27,1.28,72.38025216000001
2021-01-21,"Karnaphuli Hydro PP Unit-1,2,3,4,5",46,45,0.22,16.72,90.18,2.8118,98.26,1.26,35.866194839999984
2021-01-22,"Karnaphuli Hydro PP Unit-1,2,3,4,5",45,47,0.0,16.16,70.94,4.2986,98.26,1.19,100.04744834
2021-01-23,"Karnaphuli Hydro PP Unit-1,2,3,4,5",47,47,0.0,15.63,68.54,4.3296,98.28,1.24,112.65423312
2021-01-24,"Karnaphuli Hydro PP Unit-1,2,3,4,5",45,47,0.0,16.05,70.37,4.6368,98.36,1.26,107.9693496
